serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
total,0.08272481438309387,0.3419962146236044,8.9651997776219,3.0,0.35230650296558447,-0.06185850437455863,0.9330143540669856,30.0,0.013774104683195593,11.0,0.31831645172426587,2.0,0.05555555555555555,0.20952380952380945,0.32380952380952377,0.8202232435468907,6.0,1.8518419905565258,0.8333333333333334,0.8571428571428571,0.12271846303085937,0.6259045591934503
via_aerea,-0.39822434272172,-0.11466253893545764,6.590944202593978,10.0,0.20621188623987163,-0.1627793380472094,0.9569377990430622,34.0,0.010204081632653059,11.0,0.20990087190506987,9.0,0.07142857142857142,0.18571428571428572,0.32380952380952377,0.7582837750640802,5.0,2.0008912093612303,0.8571428571428571,0.8571428571428571,0.17180584824320314,0.7386765971392147
via_terrestre,0.27730127190494736,-0.19302248321342508,9.572755191353867,2.0,0.4841598607987537,-0.02470215543481263,0.9330143540669856,29.0,0.013774104683195593,3.0,0.33573861084319956,1.0,0.05555555555555555,0.21904761904761916,0.3285714285714285,0.8176931344941294,6.0,1.7817873914050306,0.8333333333333334,0.8571428571428571,0.0981747704246875,0.6156344756818807
via_maritima,-0.5770569604579681,-0.7294789671347117,41.8921809638435,6.0,0.6670903949545016,-0.04047111108957997,0.44976076555023925,96.0,0.07407407407407407,7.0,0.4133363253565872,1.0,0.014492753623188406,-0.5523809523809524,0.4619047619047618,0.9452927573187214,4.0,1.2045687751600855,0.16666666666666666,0.7857142857142857,0.024543692606171875,0.3234006657612586
region1,0.3908274087047434,0.12803478979398442,8.865918153850005,3.0,0.40035303775477865,-0.06456231581778599,0.9186602870813397,42.0,0.013774104683195593,7.0,0.32002218041357006,2.0,0.05555555555555555,0.17142857142857149,0.32380952380952377,0.8152067163443948,6.0,1.8334614611794477,0.7857142857142857,0.8571428571428571,0.12271846303085937,0.6345612435774685
region2,0.3113341023752103,-0.23885458290137995,9.076667322900379,2.0,0.27126562477826827,-0.011903529009573343,0.9425837320574163,12.0,0.036458333333333336,3.0,0.2770476645582367,1.0,0.038461538461538464,0.8285714285714285,0.32380952380952377,0.7404685614544498,5.0,2.053424074672775,0.16666666666666666,0.7380952380952381,0.0981747704246875,0.7222700929161829
region3,0.26754617117623813,0.008255140904231961,4.448072721413011,2.0,0.3480344752442698,0.08422615573537824,0.9425837320574163,8.0,0.013888888888888888,8.0,0.22994338929461888,1.0,0.058823529411764705,0.819047619047619,0.33333333333333326,0.7621169300266801,6.0,2.055069651685119,0.14285714285714285,0.7380952380952381,0.17180584824320314,0.7827637719059424
