serie,DN_HistogramMode_5,DN_HistogramMode_10,CO_f1ecac,CO_FirstMin_ac,CO_HistogramAMI_even_2_5,CO_trev_1_num,MD_hrv_classic_pnn40,SB_BinaryStats_mean_longstretch1,SB_TransitionMatrix_3ac_sumdiagcov,PD_PeriodicityWang_th0_01,CO_Embed2_Dist_tau_d_expfit_meandiff,IN_AutoMutualInfoStats_40_gaussian_fmmi,FC_LocalSimple_mean1_tauresrat,DN_OutlierInclude_p_001_mdrmd,DN_OutlierInclude_n_001_mdrmd,SP_Summaries_welch_rect_area_5_1,SB_BinaryStats_diff_longstretch0,SB_MotifThree_quantile_hh,SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,SP_Summaries_welch_rect_centroid,FC_LocalSimple_mean3_stderr
total,0.09057328268766297,1.4606540587879269,-0.3171496438245972,-0.3600411499115478,-0.2690317600380917,-0.31595610371080357,0.37946608735925297,-0.21731787947744705,-0.5264732025558877,1.2671727870526164,0.2778628830292641,-0.15767649936829095,0.3278212307885612,-0.1366617646976241,-0.4572361801727439,0.18492212112590195,0.7844645405527358,0.0949834369581899,0.8822485194153201,0.8322397195638254,0.1499063377991722,-0.06301600392198824
via_aerea,-1.2669475559963843,-0.002244885100162753,-0.5148946431938969,2.160246899469287,-1.3140505590088998,-1.7945447876038556,0.519269382702136,-0.06890566910260508,-0.6919053974859123,1.2671727870526164,-1.4239628297203866,2.417706323647129,1.2614059284584658,-0.19164063555298982,-0.4572361801727439,-0.7895576684081648,-0.5883484054145525,0.63994240032609,0.9540594454142413,0.8322397195638254,1.1992507023933785,0.7408868859412138
via_terrestre,0.6397822622673335,-0.25326970140764665,-0.266548080046515,-0.7200822998230956,0.6741189236163296,0.2284206624908248,0.37946608735925297,-0.2544209320711575,-0.5264732025558877,-1.361037437945403,0.5513427501264415,-0.5255883312276367,0.3278212307885612,-0.11467021635547729,-0.3572157657599563,0.1451164818844657,0.7844645405527358,-0.16115263701060273,0.8822485194153201,0.8322397195638254,-0.37476584449793066,-0.13622696972946893
via_maritima,-1.7717181780612612,-1.9717993861098764,2.4252450429082177,0.7200822998230956,1.982626049908565,-0.00260992395456692,-2.4445604785669808,2.231483591707445,2.2677822264196617,-0.04693232544639333,1.7694129392055555,-0.5255883312276367,-2.087321791444453,-1.8959856320693333,2.4433558377981064,2.152612778518696,-1.961161351381841,-2.2715995166930765,-1.1284574085544787,-0.5121475197315828,-1.9487823913892395,-2.219434904872982
region1,0.9602196602009215,0.7752320889327939,-0.32541852811685595,-0.3600411499115478,0.07464642061916937,-0.35556957952001017,0.2955841101535235,0.22791875164707884,-0.5264732025558877,-0.04693232544639333,0.30463812093578724,-0.15767649936829095,0.3278212307885612,-0.22462795806620925,-0.4572361801727439,0.10599822183805468,0.7844645405527358,0.027779903012733857,0.7386266674174772,0.8322397195638254,0.1499063377991722,-0.0013062599135250377
region2,0.7358428871385708,-0.40009209276034235,-0.3078658287616248,-0.7200822998230956,-0.8487193836406068,0.4159330275106721,0.4353874054964064,-0.8851728261642359,0.5246969671483502,-1.361037437945403,-0.369943301748488,-0.5255883312276367,-0.6775776743944129,1.29278887754189,-0.4572361801727439,-1.0698404353427073,-0.5883484054145525,0.8320148986089284,-1.1284574085544787,-1.4084056792618542,-0.37476584449793066,0.6239320414806463
region3,0.6122476417631567,0.39151991765730737,-0.6933683189647278,-0.7200822998230956,-0.2995896914564678,1.8243267047877403,0.4353874054964064,-1.0335850365390777,-0.5211541884144368,0.2815939526783591,-1.1093505618281734,-0.5255883312276367,0.5200298450147182,1.2707973291997439,-0.2571953513471687,-0.7292514996162499,0.7844645405527358,0.8380315147977312,-1.2002683345534,-1.4084056792618542,1.1992507023933785,1.0551652110161003
